seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
47,7,gaussian_5,464,1.0,1,0
47,7,gaussian_12,464,1.0,1,0
47,7,gaussian_9_holdout,464,1.0,1,0
47,7,gaussian_15_holdout,464,0.9935344827586208,1,3
47,7,blur_0.8,464,1.0,1,0
47,7,blur_1.5,464,1.0,1,0
47,7,blur_1.2_holdout,464,1.0,1,0
47,7,blur_1.8_holdout,464,1.0,1,0
47,7,resize_075,464,1.0,1,0
47,7,resize_050,464,1.0,1,0
47,7,crop_05,464,1.0,1,0
47,7,crop_10,464,1.0,1,0
47,7,crop_08_holdout,464,1.0,1,0
47,7,crop_12_holdout,464,0.8793103448275862,1,51
47,7,rotate_3,464,1.0,1,0
47,7,rotate_7,464,1.0,1,0
47,7,rotate_5_holdout,464,1.0,1,0
47,7,rotate_9_holdout,464,0.9051724137931034,1,40
47,8,clean,464,1.0,1,0
47,8,jpeg_80,464,1.0,1,0
47,8,jpeg_50,464,1.0,1,0
47,8,gaussian_5,464,1.0,1,0
47,8,gaussian_12,464,1.0,1,0
47,8,gaussian_9_holdout,464,1.0,1,0
47,8,gaussian_15_holdout,464,0.9935344827586208,1,3
47,8,blur_0.8,464,1.0,1,0
47,8,blur_1.5,464,1.0,1,0
47,8,blur_1.2_holdout,464,1.0,1,0
47,8,blur_1.8_holdout,464,1.0,1,0
47,8,resize_075,464,1.0,1,0
47,8,resize_050,464,1.0,1,0
47,8,crop_05,464,1.0,1,0
47,8,crop_10,464,1.0,1,0
47,8,crop_08_holdout,464,1.0,1,0
47,8,crop_12_holdout,464,0.8771551724137931,1,54
47,8,rotate_3,464,1.0,1,0
47,8,rotate_7,464,1.0,1,0
47,8,rotate_5_holdout,464,1.0,1,0
47,8,rotate_9_holdout,464,0.9073275862068966,1,39
47,9,clean,464,1.0,1,0
47,9,jpeg_80,464,1.0,1,0
47,9,jpeg_50,464,1.0,1,0
47,9,gaussian_5,464,1.0,1,0
47,9,gaussian_12,464,1.0,1,0
